variant_id,stop_id
805593,1603
805593,1497
816779,1603
816779,1497
816779,2818
819257,1497
819257,2818
819353,1897
819410,1680
819410,4250
819410,2817
819411,1603
819411,1497
825708,1680
825708,4250
825708,2817
829671,1629
829671,2034
829671,1417
829671,1533
829671,2817
830103,1603
830103,1497
830103,2818
830724,1548
830724,1420
830724,1533
834323,148
834323,1705
834789,3667
834789,3586
835253,5218
835253,5221
835253,5222
835253,4051
835253,4123
835253,3795
835571,4288
835571,4300
835571,4754
835571,4285
835571,4283
835571,1217
835571,357
835571,2527
835631,3908
835631,1398
835631,1541
835631,1581
835631,1502
835631,2355
836330,4898
836330,1547
836330,3524
836330,1541
836342,3908
836342,3524
836342,1541
836342,1581
836342,1502
836342,1572
836356,1751
836357,1541
836362,1548
836362,1420
836362,5310
836362,2031
836368,1497
836368,2818
836368,5310
836368,2031
836368,1495
836369,1497
836369,2818
836369,5310
836369,2031
836428,1573
836428,1501
836428,1387
836428,4685
836428,2817
836430,1573
836430,1501
836430,1387
836430,4685
836430,1534
836430,5310
836430,2031
836443,3908
836446,1398
836446,1541
836446,1581
836446,1502
836446,1572
836459,1603
836459,1497
836459,2818
836459,1534
836459,1418
836459,2031
836513,1629
836513,4896
836513,1420
836513,1581
836513,1502
836513,2355
836533,3421
836533,728
836533,3720
836533,4596
836533,3668
836533,1979
836533,3669
836533,3706
836533,3709
836533,1081
836533,3064
836533,3672
836533,4422
836557,1573
836557,1501
836557,1580
836557,1544
836557,3523
836557,3902
836601,1573
836601,1501
836601,1387
836601,4685
836601,2817
836685,1534
836685,1581
836685,1502
836685,1572
836729,4288
836729,4300
836729,4754
836729,4285
836729,4283
836729,1217
836729,357
836729,2527
836800,480
836800,2035
836800,350
836801,3807
836801,349
836801,1215
836801,481
836804,1215
836804,481
836805,480
836805,2035
836805,350
836805,2010
836806,480
836806,2035
836806,350
837041,4896
837041,1473
837041,2031
837114,1548
837114,1420
837114,1581
837114,1502
837114,1572
837125,1897
837125,2034
837125,1417
837125,1543
837132,2356
837132,5180
837132,1595
837132,2033
837132,1750
837133,1407
837133,1532
837133,2818
837133,4684
837133,1679
837133,1502
837133,1572
837251,2820
837251,4684
837251,1679
837251,1502
837251,1572
837252,2818
837252,4684
837252,1679
837252,1502
837252,1572
837254,1531
837256,1397
837256,3907
837257,3902
837273,1897
837273,2032
837273,4250
837273,2817
837280,1897
837280,2032
837280,4250
837280,2817
837281,2032
837281,4250
837281,2817
837289,1629
837302,1407
837302,1532
837303,1531
837303,1408
837375,526
837375,538
837375,3272
837495,1573
837495,1501
837495,1580
837495,1419
837495,1547
837495,2536
837513,480
837513,347
837513,2666
837513,4401
837513,2010
837522,526
837522,538
837541,3421
837541,2275
837642,3421
837642,2275
837646,5297
837646,1142
837666,2855
837666,205
837691,3794
837691,4137
837691,5224
837691,5223
837691,5220
837691,5219
837692,575
837692,595
837693,575
837693,555
837693,4892
837695,575
837697,575
837697,1034
837697,1701
837697,595
837698,596
837698,1034
837698,1701
837698,575
837698,555
837698,4892
837764,3895
837772,526
837772,538
837802,2276
837802,3415
837876,576
837876,567
837877,582
837877,568
837877,575
837877,4892
838118,494
838350,2955
838350,3134
838351,480
838351,347
838351,2666
838351,4401
838351,2010
838351,864
838538,1751
838538,2032
838538,1596
838538,5179
838538,2355
838550,1495
838574,1534
838574,1615
838574,1596
838574,5179
838574,2355
838592,73
838628,4285
838628,4283
838628,1217
838628,357
838628,2527
838645,3421
838645,728
838645,3244
838645,3720
838645,3656
838645,3669
838645,1702
838645,3706
838645,3709
838645,1081
838645,3672
838645,4422
838669,3421
838669,728
838669,3244
838669,3656
838669,3668
838669,1979
838669,3669
838669,3706
838746,240
838790,864
838805,546
838805,4895
838805,554
838805,2880
838829,4898
838829,1547
838829,3524
839094,553
839094,4894
839094,5123
839094,3517
839094,480
839094,2527
839156,148
839156,1705
839160,148
839160,1705
839161,148
839161,1705
839165,153
839165,148
839165,1705
839166,1704
839166,149
839166,153
839218,4423
839218,3671
839218,3065
839218,1082
839222,3421
839222,2305
839222,2871
839222,3652
839222,3646
839222,3036
839222,1979
839222,3669
839222,1702
839222,3706
839222,3588
839222,3666
839222,3722
839307,1704
839307,149
839310,1704
839310,149
839310,912
839311,148
839311,1705
839328,3641
839328,3027
839328,4659
839328,2254
839377,603
839377,1061
839377,554
839389,4896
839389,1470
839389,1420
839389,1581
839389,1502
839389,1572
839394,1573
839394,1501
839394,1387
839394,4685
839394,2817
839394,1531
839394,1408
839399,1534
839399,1581
839399,1502
839399,1572
839405,1897
839411,1573
839411,1501
839411,1580
839411,1533
839412,1542
839412,1418
839412,2031
839414,1897
839414,2034
839414,1417
839414,1533
839431,1407
839431,1532
839431,2818
839432,2820
839432,1531
839432,1408
839433,3908
839433,1398
839434,1541
839434,1581
839434,1502
839434,2355
839435,1573
839435,1501
839435,1580
839435,1544
839435,1397
839796,4291
839796,4277
839796,1933
839796,4279
839796,2666
839796,4401
839796,3813
839796,335
839807,4277
839807,1933
839807,4279
839807,2666
839807,4401
839807,3813
839807,335
839822,4492
839822,4745
839822,4429
839822,4479
839822,4633
839822,271
839822,3757
839872,3421
839872,728
839872,3720
839872,4596
839872,3668
839872,1979
839872,3669
839872,3706
839881,4570
839881,5296
839971,539
839971,527
839972,3272
839972,539
839972,527
839988,403
839988,3256
840108,1398
840108,3522
840108,1418
840108,2033
840108,1628
840120,1582
840120,1578
840120,1544
840120,1397
840121,1398
840121,1541
840121,1579
840121,1583
840334,3421
840334,2305
840334,2871
840334,3652
840334,3646
840334,3645
840334,3722
840356,1901
840356,604
840356,708
840356,711
840356,3420
840376,1901
840376,604
840376,708
840376,711
840376,3420
840376,2488
840378,3900
840378,2527
840658,3762
840658,5154
840659,5297
840659,4571
840659,869
840668,539
840668,527
840683,2276
840683,3415
840725,103
840725,3762
840725,5154
840726,3762
840732,3762
840737,4571
840737,869
840737,5123
840737,3517
840738,5296
840753,480
840753,347
840753,2666
840753,4401
840753,2010
840760,568
840793,3412
840793,1306
840793,2863
840793,3900
840793,2527
840803,212
840803,1306
840803,281
840841,603
840841,1061
840841,2880
840889,1419
840889,1547
840889,2536
840896,1408
840901,3522
840901,1419
840901,1547
840901,2536
840931,1407
840967,1587
840970,1582
840970,1578
840970,1544
840970,1397
840975,1398
840975,1541
840975,1579
840975,1583
840977,1587
840982,3908
840983,3902
840992,1496
840992,1604
841033,1398
841033,3522
841033,1418
841033,2031
841034,1398
841034,3522
841034,1418
841034,2033
841034,1628
841062,3421
841062,728
841062,3244
841062,3720
841070,33
841070,4663
841070,538
841070,3272
841070,3370
841083,1750
841104,1582
841104,1578
841104,1544
841104,1397
841143,3782
841143,378
841151,5296
841151,271
841151,281
841151,378
841154,2342
841159,1704
841159,3889
841161,3889
841161,2251
841162,1015
841162,3888
841162,1705
841165,1704
841165,895
841166,992
841166,1705
841167,148
841167,2714
841167,3889
841169,148
841170,153
841170,148
841171,115
841171,4803
841171,981
841171,2482
841171,73
841171,1705
841172,115
841172,4803
841172,981
841172,2482
841172,73
841172,1705
841173,115
841173,4803
841173,981
841173,2482
841173,73
841174,981
841174,2482
841174,73
